"""ID""";"""Sentimen""";"""Alasan""";;
1;"""Netral""";"""Desain burung Garuda terlihat biasa saja";" tidak terlalu menarik atau mengecewakan.""";
2;"""Netral""";"""Warna yang digunakan cukup standar";" tidak ada yang terlalu mencolok atau unik.""";
3;"""Netral""";"""Burung Garuda di IKN tampak sesuai dengan ekspektasi masyarakat secara umum.""";;
4;"""Netral""";"""Desain ini tidak memberikan kesan negatif";" tetapi juga tidak mengesankan secara signifikan.""";
5;"""Netral""";"""Detail ornamen pada burung Garuda dapat diterima tetapi tidak menonjol di IKN.""";;
6;"""Netral""";"""Burung Garuda terlihat cukup jelas";" tetapi tidak menarik perhatian yang besar.""";
7;"""Netral""";"""Desain ini tidak terlalu membangkitkan emosi";" hanya terlihat sebagai elemen dekoratif.""";
8;"""Netral""";"""Burung Garuda mencerminkan simbol negara";" tetapi tidak memberikan dampak yang kuat.""";
9;"""Netral""";"""Desain ini tidak membuat masyarakat merasa sangat bangga atau kecewa secara khusus.""";;
10;"""Netral""";"""Kesan umum terhadap desain burung Garuda adalah netral tanpa perasaan yang mendalam.""";;
11;"""Netral""";"""Desain burung Garuda mungkin terlihat baik";" tetapi tidak ada yang luar biasa.""";
12;"""Netral""";"""Burung Garuda tidak terlihat mencolok";" tetapi tidak juga mengganggu pemandangan.""";
13;"""Netral""";"""Desain ini mungkin dianggap biasa oleh sebagian masyarakat tanpa perasaan khusus.""";;
14;"""Netral""";"""Warna dan bentuk burung Garuda cukup familiar bagi masyarakat di sekitarnya.""";;
15;"""Netral""";"""Burung Garuda tampak sebagai elemen arsitektur tanpa memberikan makna yang jelas.""";;
16;"""Netral""";"""Desain ini diakui ada";" tetapi tidak diingat oleh banyak orang yang melihat.""";
17;"""Netral""";"""Burung Garuda dapat diterima sebagai bagian dari estetika IKN secara keseluruhan.""";;
18;"""Netral""";"""Tidak ada sentimen khusus terhadap desain ini";" hanya sebagai informasi umum.""";
19;"""Netral""";"""Burung Garuda menambah elemen desain";" tetapi tidak mengubah suasana secara signifikan.""";
